GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
305,95,0.62,0,6.5,3,3,62
305,95,8.5,0,6.5,4,4,80
298,95,0.67,23,6.5,3,3,67
305,95,0.72,27,6.5,3,3,72
305,95,0.7,2,6.5,3,3,70
310,95,6.5,28,6.5,3,3,60
287,95,0.599,80,6.5,2,2,59.9
290,95,6.07,0,6.5,2,2,55.7
316,95,9.19,2,6.5,4,4,86.9
294,95,6.25,12,6.5,2,2,57.5
298,95,0.67,30,6.5,3,3,67
293,95,7.3,33,6.5,3,3,68
308,95,3.5,3,6.5,2,2,30
305,95,7.75,5,6.5,3,3,72.5
310,96,0.564,36,6.5,2,2,56.4
297,97,0.53,0,6.5,2,2,53
306,97,8.07,26,6.5,4,4,75.7
302,98,0.73,40,6.5,3,3,73
297,98,6.08,0,6.5,2,2,55.8
302,98,6.6,18,6.5,3,3,61
318,98,0.63,0,6.5,3,3,63
303,99,0.7168,40,6.5,3,3,71.68
309,99,0.6915,17,6.5,3,3,69.15
304,99,5.96,0,6.5,2,2,54.6
299,100,0.55,25,6.5,2,2,55
302,100,0.6,18,6.5,3,3,60
310,100,6.5,4,6.5,3,3,60
322,101,0.5889,24,7,2,2,58.89
297,101,6.8,19,7,3,3,63
304,102,8.5,52,7,4,4,80
302,106,8.39,24,7,4,4,78.9
299,109,0.78,0,7.5,4,4,78
319,112,6,0,7.5,2,2,55
305,95,0.645,0,6.5,3,3,64.5
305,95,0.67,0,6.5,3,3,67
316,95,7.8,37,6.5,3,3,73
305,95,0.58,0,6.5,2,2,58
305,95,0.67,0,6.5,3,3,67
320,95,6,11,6.5,2,2,55
305,95,8.7,0,6.5,4,4,82
305,95,6,10,6.5,2,2,55
304,95,8.5,24,6.5,4,4,80
314,95,5.8,0,6.5,2,2,53
305,95,0.6973,0,6.5,3,3,69.73
305,95,8.8,44,6.5,4,4,83
305,95,7.4,18,6.5,3,3,69
306,96,8.9,27,6.5,4,4,84
303,97,0.63,37,6.5,3,3,63
300,98,7.76,0,6.5,3,3,72.6
299,101,9.1,14,7,4,4,86
313,103,6.5,0,7,3,3,60
296,105,0.68,18,7,3,3,68
310,107,7.39,14,7,3,3,68.9
321,108,0.5606,7,7,2,2,56.06
305,110,8.02,22,7.5,4,4,75.2
305,112,8.04,3,7.5,4,4,75.4
312,87,0.71,30,6,3,3,71
304,90,8,61,6,4,4,75
302,90,0.7634,46,6,4,4,76.34
302,90,0.7634,46,6,4,4,76.34
310,92,0.69,0,6,3,3,69
301,92,0.62,5,6,3,3,62
309,94,8.66,2,6.5,4,4,81.6
317,94,0.8,6,6.5,4,4,80
305,95,0.645,0,6.5,3,3,64.5
305,95,0.67,0,6.5,3,3,67
305,95,0.58,0,6.5,2,2,58
305,95,0.7,18,6.5,3,3,70
305,95,3.5,12,6.5,2,2,30
295,95,0.7625,60,6.5,4,4,76.25
302,95,0.755,0,6.5,4,4,75.5
315,95,0.54,30,6.5,2,2,54
319,95,0.7,0,6.5,3,3,70
288,95,0.7885,0,6.5,4,4,78.85
314,95,0.8068,48,6.5,4,4,80.68
304,96,9.24,74,6.5,4,4,87.4
307,97,0.72,52,6.5,3,3,72
305,99,7.22,36,6.5,3,3,67.2
306,99,0.74,0,6.5,3,3,74
308,100,6.47,38,6.5,2,2,59.7
296,100,8.05,48,6.5,4,4,75.5
311,100,0,0,6.5,2,2,0
292,100,2,0,6.5,2,2,15
304,100,8.23,46,6.5,4,4,77.3
301,100,0.634,37,6.5,3,3,63.4
308,100,0.64,29,6.5,3,3,64
305,101,6.5,22,7,3,3,60
305,101,0.62,8,7,3,3,62
331,101,0.65,15,7,3,3,65
315,101,8.26,10,7,4,4,77.6
305,101,0.51,13,7,2,2,51
296,101,0.71,31,7,3,3,71
306,101,0.7198,48,7,3,3,71.98
300,101,7.5,1,7,3,3,70
319,101,6.57,15,7,3,3,60.7
289,102,0.61,33,7,3,3,61
305,102,7.56,53,7,3,3,70.6
303,103,9,2,7,4,4,85
309,103,0.69,0,7,3,3,69
313,104,7.06,0,7,3,3,65.6
306,104,7.5,34,7,3,3,70
298,104,7.23,7,7,3,3,67.3
307,106,0.64,30,7,3,3,64
309,107,0.6392,26,7,3,3,63.92
322,107,0.7447,28,7,3,3,74.47
317,108,8.2,0,7,4,4,77
307,108,0.75,0,7,4,4,75
303,109,0.56,20,7.5,2,2,56
304,110,0.6504,10,7.5,3,3,65.04
322,110,3.1,12,7.5,2,2,26
316,113,0.6,0,7.5,3,3,60
297,81,0.62,46,6,3,3,62
294,81,0.76,24,6,4,4,76
293,82,0.55,22,6,2,2,55
292,82,0.66,44,6,3,3,66
298,82,6.22,0,6,2,2,57.2
294,83,0.754,15,6,4,4,75.4
300,84,0.53,0,6,2,2,53
304,85,7.08,26,6,3,3,65.8
303,85,6.3,6,6,2,2,58
294,86,0.74,39,6,3,3,74
302,89,7,0,6,3,3,65
292,89,7.13,38,6,3,3,66.3
325,90,0.6007,23,6,3,3,60.07
296,90,5.67,8,6,2,2,51.7
304,90,8,61,6,4,4,75
298,91,5.39,3,6,2,2,48.9
300,91,0.55,6,6,2,2,55
310,92,5.5,0,6,2,2,50
308,92,0.6333,60,6,3,3,63.33
296,93,0.61,0,6.5,3,3,61
291,93,6.35,9,6.5,2,2,58.5
305,93,7.11,0,6.5,3,3,66.1
309,93,0.63,60,6.5,3,3,63
305,94,6.7,1,6.5,3,3,62
309,94,6.8,0,6.5,3,3,63
305,95,6.75,16,6.5,3,3,62.5
305,95,6.8,1,6.5,3,3,63
304,95,0.67,35,6.5,3,3,67
305,95,6.75,0,6.5,3,3,62.5
305,95,6.12,0,6.5,2,2,56.2
305,95,8.6,24,6.5,4,4,81
305,95,0.605,24,6.5,3,3,60.5
305,95,6.84,5,6.5,3,3,63.4
300,95,7.6,0,6.5,3,3,71
310,96,0.564,36,6.5,2,2,56.4
297,98,6.08,0,6.5,2,2,55.8
306,98,10,0,6.5,5,5,95
306,99,0.645,0,6.5,3,3,64.5
300,100,6.5,0,6.5,3,3,60
308,100,6.47,38,6.5,2,2,59.7
311,101,0.5871,30,7,2,2,58.71
305,101,0.62,8,7,3,3,62
304,101,0.79,30,7,4,4,79
312,101,8.25,0,7,4,4,77.5
300,101,7.5,1,7,3,3,70
301,101,0.57,3,7,2,2,57
297,101,6.8,19,7,3,3,63
299,102,5.7,0,7,2,2,52
308,102,7.09,0,7,3,3,65.9
313,103,6.5,0,7,3,3,60
313,103,7,0,7,3,3,65
301,107,0.65,41,7,3,3,65
331,107,0.6436,24,7,3,3,64.36
314,108,0.665,24,7,3,3,66.5
295,78,6.7,24,6,3,3,62
296,81,7.37,43,6,3,3,68.7
297,81,0.62,46,6,3,3,62
293,82,0.55,22,6,2,2,55
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
301,85,0.8012,60,6,4,4,80.12
310,85,0.797,36,6,4,4,79.7
302,85,7.3,1,6,3,3,68
303,87,6.8,8,6,3,3,63
299,88,0.83,30,6,4,4,83
300,88,0.6,29,6,3,3,60
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
300,88,8.18,24,6,4,4,76.8
308,90,8.16,43,6,4,4,76.6
302,90,7.75,6,6,3,3,72.5
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
305,90,0.82,48,6,4,4,82
296,91,0.72,20,6,3,3,72
281,93,0.74,60,6.5,3,3,74
295,93,0.54,41,6.5,2,2,54
308,93,7.8,26,6.5,3,3,73
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
303,94,7.37,27,6.5,3,3,68.7
307,94,0.79,37,6.5,4,4,79
305,95,8.78,1,6.5,4,4,82.8
305,95,6.75,16,6.5,3,3,62.5
304,95,0.74,24,6.5,3,3,74
316,95,9,12,6.5,4,4,85
322,95,6.45,1,6.5,2,2,59.5
305,95,8.7,60,6.5,4,4,82
305,95,0.58,0,6.5,2,2,58
305,95,8.6,24,6.5,4,4,81
301,95,0.65,74,6.5,3,3,65
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
305,95,0.653,18,6.5,3,3,65.3
308,95,3.5,3,6.5,2,2,30
307,95,0.65,40,6.5,3,3,65
306,96,0.62,15,6.5,3,3,62
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
304,96,7.87,12,6.5,3,3,73.7
303,97,7,16,6.5,3,3,65
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
306,97,0.73,42,6.5,3,3,73
304,98,7.81,28,6.5,3,3,73.1
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,99,0.65,19,6.5,3,3,65
308,100,6.47,38,6.5,2,2,59.7
319,100,0.6247,12,6.5,3,3,62.47
305,101,8.11,0,7,4,4,76.1
302,101,8.22,8,7,4,4,77.2
306,101,0.7422,8,7,3,3,74.22
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
317,101,0.637,1,7,3,3,63.7
308,101,7.79,16,7,3,3,72.9
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
302,101,0.65,30,7,3,3,65
303,103,9,2,7,4,4,85
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
312,104,8.7,20,7,4,4,82
311,106,0.6823,19,7,3,3,68.23
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
314,106,9.15,0,7,4,4,86.5
322,107,0.7447,28,7,3,3,74.47
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
310,107,7.39,14,7,3,3,68.9
312,109,7.9,0,7.5,3,3,74
305,109,7.35,0,7.5,3,3,68.5
316,109,0.695,28,7.5,3,3,69.5
311,111,0.598,40,7.5,2,2,59.8
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
307,111,7.6,0,7.5,3,3,71
315,112,8.24,1,7.5,4,4,77.4
320,113,7.9,17,7.5,3,3,74
312,113,10,0,7.5,5,5,95
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
317,85,8,34,6,4,4,75
319,90,0.63,0,6,3,3,63
296,91,0.72,20,6,3,3,72
309,94,0.88,60,6.5,4,4,88
305,95,7.04,0,6.5,3,3,65.4
305,95,0.7,13,6.5,3,3,70
325,95,0.7,2,6.5,3,3,70
305,95,8.6,0,6.5,4,4,81
305,95,8.678,2,6.5,4,4,81.78
305,95,7.48,0,6.5,3,3,69.8
290,95,0.76,0,6.5,4,4,76
305,95,8.8,13,6.5,4,4,83
305,95,0.55,16,6.5,2,2,55
305,95,6.8,1,6.5,3,3,63
318,95,7.71,0,6.5,3,3,72.1
305,95,0.7,13,6.5,3,3,70
305,95,7.1,0,6.5,3,3,66
316,95,7.5,36,6.5,3,3,70
314,95,0.8068,48,6.5,4,4,80.68
305,95,0.68,0,6.5,3,3,68
310,95,7.55,12,6.5,3,3,70.5
312,98,0.778,31,6.5,4,4,77.8
314,100,7.4,24,6.5,3,3,69
315,100,0.72,43,6.5,3,3,72
317,100,0.8043,43,6.5,4,4,80.43
305,101,0.623,0,7,3,3,62.3
309,101,8.5,16,7,4,4,80
306,102,0.65,26,7,3,3,65
316,102,7.58,42,7,3,3,70.8
316,102,7.99,13,7,3,3,74.9
303,103,9,2,7,4,4,85
317,103,0.79,60,7,4,4,79
309,103,0.69,0,7,3,3,69
309,103,0.741,13,7,3,3,74.1
315,103,0.66,11,7,3,3,66
318,103,0.784,-1,7,4,4,78.4
307,103,8,34,7,4,4,75
321,104,0.71,76,7,3,3,71
324,104,0.899,29,7,4,4,89.9
305,104,8.15,33,7,4,4,76.5
312,104,8.7,20,7,4,4,82
330,108,7.2,12,7,3,3,67
315,109,0.6577,30,7.5,3,3,65.77
329,110,6.5,6,7.5,3,3,60
327,110,7.43,20,7.5,3,3,69.3
322,110,0.7904,27,7.5,4,4,79.04
320,111,7.98,30,7.5,3,3,74.8
315,112,8.3,12,7.5,4,4,78
318,112,0.803,16,7.5,4,4,80.3
322,112,0.698,31,7.5,3,3,69.8
317,114,8.02,21,8,4,4,75.2
320,116,0.82,0,8,4,4,82
325,116,8.48,2,8,4,4,79.8
320,117,0.5942,30,8.5,2,2,59.42
314,85,0.6328,40,6,3,3,63.28
314,85,0.87,30,6,4,4,87
313,85,0.84,24,6,4,4,84
308,85,7.31,23,6,3,3,68.1
304,88,0.79,57,6,4,4,79
298,90,9.12,24,6,4,4,86.2
310,90,0.71,6,6,3,3,71
305,91,0.64,15,6,3,3,64
312,92,0.752,50,6,4,4,75.2
308,93,0.81,27,6.5,4,4,81
301,93,0.835,20,6.5,4,4,83.5
305,95,8.78,1,6.5,4,4,82.8
305,95,7.2,29,6.5,3,3,67
305,95,8.1,0,6.5,4,4,76
305,95,0.62,0,6.5,3,3,62
310,95,6.8,23,6.5,3,3,63
290,95,0.76,0,6.5,4,4,76
305,95,6.8,1,6.5,3,3,63
318,95,7.71,0,6.5,3,3,72.1
305,95,0.65,12,6.5,3,3,65
305,95,7.81,1,6.5,3,3,73.1
305,95,7.02,0,6.5,3,3,65.2
307,95,0.74,37,6.5,3,3,74
316,95,7.5,36,6.5,3,3,70
307,95,0.651,48,6.5,3,3,65.1
314,96,8,24,6.5,4,4,75
313,98,7.1,32,6.5,3,3,66
310,99,6.48,12,6.5,2,2,59.8
309,99,8.56,0,6.5,4,4,80.6
302,100,0.71,0,6.5,3,3,71
309,100,7.2,1,6.5,3,3,67
315,100,7.54,0,6.5,3,3,70.4
317,101,0.67,18,7,3,3,67
312,102,0.65,20,7,3,3,65
311,102,0.77,0,7,4,4,77
305,102,8.87,30,7,4,4,83.7
310,102,0.6,26,7,3,3,60
306,104,0.8022,20,7,4,4,80.22
304,105,3.69,24,7,2,2,31.9
308,105,0.85,60,7,4,4,85
313,106,0.64,59,7,3,3,64
313,107,0.62,6,7,3,3,62
322,107,0.7447,28,7,3,3,74.47
318,108,0.7,31,7,3,3,70
317,108,8.2,0,7,4,4,77
305,109,7.35,0,7.5,3,3,68.5
318,109,8.17,0,7.5,4,4,76.7
317,109,7.93,57,7.5,3,3,74.3
323,109,0.803,13,7.5,4,4,80.3
311,110,0.64,72,7.5,3,3,64
317,110,6.93,25,7.5,3,3,64.3
311,111,0.598,40,7.5,2,2,59.8
315,112,8.3,12,7.5,4,4,78
305,113,0.7389,60,7.5,3,3,73.89
320,117,0.5942,30,8.5,2,2,59.42
305,95,8.8,13,6.5,4,4,83
305,95,6.8,1,6.5,3,3,63
318,95,8,6,6.5,4,4,75
305,95,7.7,2,6.5,3,3,72
305,95,0.58,0,6.5,2,2,58
305,95,7.3,48,6.5,3,3,68
320,95,7.8,1,6.5,3,3,73
313,95,8.25,6,6.5,4,4,77.5
305,95,0.64,92,6.5,3,3,64
318,95,6.75,13,6.5,3,3,62.5
302,95,0.67,0,6.5,3,3,67
305,95,8.6,24,6.5,4,4,81
305,95,7.82,20,6.5,3,3,73.2
305,95,0.6512,3,6.5,3,3,65.12
305,95,0.9,1,6.5,5,5,90
320,96,8.46,42,6.5,4,4,79.6
310,99,6.48,12,6.5,2,2,59.8
307,99,0.67,16,6.5,3,3,67
312,100,0.67,60,6.5,3,3,67
308,101,7.79,16,7,3,3,72.9
319,101,6.57,15,7,3,3,60.7
313,101,0.682,42,7,3,3,68.2
312,102,0.65,20,7,3,3,65
318,102,0.67,32,7,3,3,67
317,103,0.79,60,7,4,4,79
316,103,0.8101,13,7,4,4,81.01
315,104,0.77,3,7,4,4,77
315,104,6.97,18,7,3,3,64.7
305,104,8.15,33,7,4,4,76.5
308,105,0.85,60,7,4,4,85
310,106,7.92,35,7,3,3,74.2
311,106,0.68,19,7,3,3,68
311,106,0.6823,19,7,3,3,68.23
313,107,8.96,0,7,4,4,84.6
308,108,8.65,36,7,4,4,81.5
309,108,8.57,37,7,4,4,80.7
305,109,7.35,0,7.5,3,3,68.5
305,109,0.6,0,7.5,3,3,60
318,109,0.69,30,7.5,3,3,69
305,109,0.86,25,7.5,4,4,86
322,110,5.66,6,7.5,2,2,51.6
317,110,6.93,25,7.5,3,3,64.3
312,110,8.6,24,7.5,4,4,81
326,111,0.601,42,7.5,3,3,60.1
315,112,8.24,1,7.5,4,4,77.4
316,112,8.48,21,7.5,4,4,79.8
305,113,0.7389,60,7.5,3,3,73.89
321,114,7.58,38,8,3,3,70.8
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
326,115,9.38,1,8,4,4,88.8
325,115,9.12,4,8,4,4,86.2
325,115,9.55,26,8,5,5,90.5
321,117,0.872,30,8.5,4,4,87.2
305,95,7.02,0,6.5,3,3,65.2
305,95,0.742,0,6.5,3,3,74.2
305,95,5.96,20,6.5,2,2,54.6
305,95,7,0,6.5,3,3,65
305,95,7.9,36,6.5,3,3,74
305,95,7.2,1,6.5,3,3,67
313,95,8.1,5,6.5,4,4,76
305,95,0.7,0,6.5,3,3,70
305,95,8.23,25,6.5,4,4,77.3
305,95,8.9,0,6.5,4,4,84
307,95,7.98,4,6.5,3,3,74.8
317,96,8,20,6.5,4,4,75
326,99,8.322,12,6.5,4,4,78.22
315,100,7.54,0,6.5,3,3,70.4
305,101,0.72,29,7,3,3,72
306,102,0.65,26,7,3,3,65
323,103,7,30,7,3,3,65
313,107,0.76,31,7,4,4,76
316,109,0.714,20,7.5,3,3,71.4
325,109,8.35,0,7.5,4,4,78.5
315,112,8.3,12,7.5,4,4,78
332,117,7.33,0,8.5,3,3,68.3
285,85,6.8,0,6,3,3,63
313,95,0.65,22,6.5,3,3,65
316,95,9,12,6.5,4,4,85
318,95,7.71,0,6.5,3,3,72.1
305,95,0.7,13,6.5,3,3,70
290,95,6.07,0,6.5,2,2,55.7
314,95,0.64,0,6.5,3,3,64
305,95,0.6,25,6.5,3,3,60
305,95,7.5,0,6.5,3,3,70
323,95,9.14,0,6.5,4,4,86.4
313,95,0.7887,17,6.5,4,4,78.87
284,95,6.54,39,6.5,3,3,60.4
305,95,7.8,37,6.5,3,3,73
305,95,9.45,10,6.5,4,4,89.5
305,95,0.8,34,6.5,4,4,80
280,95,0.67,2,6.5,3,3,67
305,95,0.6,0,6.5,3,3,60
294,95,0.58,0,6.5,2,2,58
312,96,6,30,6.5,2,2,55
326,99,8.322,12,6.5,4,4,78.22
311,100,0,0,6.5,2,2,0
305,101,7.93,17,7,3,3,74.3
302,101,0.588,13,7,2,2,58.8
311,102,0.74,85,7,3,3,74
309,109,0.68,0,7.5,3,3,68
320,111,0.5,0,7.5,2,2,50
315,112,8.3,12,7.5,4,4,78
305,95,6.8,1,6.5,3,3,63
322,95,6.45,1,6.5,2,2,59.5
305,95,0.58,0,6.5,2,2,58
305,95,7.3,48,6.5,3,3,68
305,95,9.03,0,6.5,4,4,85.3
320,95,7.69,7,6.5,3,3,71.9
305,95,6.4,12,6.5,2,2,59
305,95,0.58,0,6.5,2,2,58
305,95,8.6,24,6.5,4,4,81
305,95,6.71,6,6.5,3,3,62.1
305,95,7.82,20,6.5,3,3,73.2
316,95,7.5,36,6.5,3,3,70
305,95,0.75,0,6.5,4,4,75
305,95,8,0,6.5,4,4,75
315,96,7.09,25,6.5,3,3,65.9
323,97,0.62,49,6.5,3,3,62
307,97,6,0,6.5,2,2,55
311,98,0.684,18,6.5,3,3,68.4
313,98,8.92,44,6.5,4,4,84.2
307,99,0.67,16,6.5,3,3,67
310,99,0.71,38,6.5,3,3,71
314,100,8.5,15,6.5,4,4,80
309,100,8.61,39,6.5,4,4,81.1
299,101,7.8,18,7,3,3,73
290,101,0.76,8,7,4,4,76
302,101,8.4,41,7,4,4,79
304,101,0.79,30,7,4,4,79
307,101,7.61,37,7,3,3,71.1
311,101,0.75,32,7,4,4,75
309,101,0.714,36,7,3,3,71.4
309,101,0.7,27,7,3,3,70
319,101,6.57,15,7,3,3,60.7
316,103,0.8101,13,7,4,4,81.01
322,104,8.3,0,7,4,4,78
324,104,0.899,29,7,4,4,89.9
312,104,8.7,20,7,4,4,82
316,105,7.4,45,7,3,3,69
308,105,0.85,60,7,4,4,85
310,106,7.92,35,7,3,3,74.2
311,106,0.6823,19,7,3,3,68.23
314,106,7.63,6,7,3,3,71.3
309,109,9.24,40,7.5,4,4,87.4
315,109,0.6577,30,7.5,3,3,65.77
317,109,6.34,13,7.5,2,2,58.4
313,109,0.8174,25,7.5,4,4,81.74
317,111,0.866,20,7.5,4,4,86.6
311,111,0.598,40,7.5,2,2,59.8
321,112,0.63,60,7.5,3,3,63
322,113,6.8,30,7.5,3,3,63
320,113,7.9,17,7.5,3,3,74
326,113,0.685,44,7.5,3,3,68.5
321,114,7.58,38,8,3,3,70.8
319,114,6.71,14,8,3,3,62.1
319,114,6.71,14,8,3,3,62.1
320,117,0.5942,30,8.5,2,2,59.42
305,93,0.6,38,6.5,3,3,60
300,93,7.4,16,6.5,3,3,69
303,93,0.641,2,6.5,3,3,64.1
306,94,6.6,0,6.5,3,3,61
305,95,0.58,0,6.5,2,2,58
305,95,0.75,0,6.5,4,4,75
301,95,7.6,19,6.5,3,3,71
305,95,6,0,6.5,2,2,55
305,95,0.65,0,6.5,3,3,65
305,95,0.783,0,6.5,4,4,78.3
282,95,0.54,0,6.5,2,2,54
305,95,9,0,6.5,4,4,85
308,95,8,30,6.5,4,4,75
305,95,0.72,21,6.5,3,3,72
302,98,0.65,29,6.5,3,3,65
302,99,0.6791,53,6.5,3,3,67.91
304,99,0.76,38,6.5,4,4,76
300,99,7.46,0,6.5,3,3,69.6
296,100,8.05,48,6.5,4,4,75.5
305,101,6.5,22,7,3,3,60
305,101,0.62,8,7,3,3,62
331,101,0.65,15,7,3,3,65
297,101,6.87,32,7,3,3,63.7
309,101,0.714,36,7,3,3,71.4
305,101,0.51,54,7,2,2,51
313,108,6.47,12,7,2,2,59.7
303,108,7.696,2,7,3,3,71.96
309,109,9.24,40,7.5,4,4,87.4
311,109,0.69,48,7.5,3,3,69
295,109,7.51,32,7.5,3,3,70.1
310,109,6.47,0,7.5,2,2,59.7
